"# Same source as figS42_blue_envelopes.csv, log-linearly interpolated onto a 25 K grid."
# k in cm3 mol-1 s-1. Rows omitted where any of the three curves does not span that T.
panel,reaction,T_K,k_model,k_lower,k_upper,factor_hi_over_lo,half_width_lnk
tl_H2O2_OH,H2O2 + OH = H2O + HO2,250,2.90111e+12,1.76086e+12,4.77583e+12,2.7122,0.49888
tl_H2O2_OH,H2O2 + OH = H2O + HO2,275,2.35085e+12,1.45480e+12,3.80789e+12,2.6175,0.48110
tl_H2O2_OH,H2O2 + OH = H2O + HO2,300,1.99671e+12,1.25424e+12,3.18352e+12,2.5382,0.46573
tl_H2O2_OH,H2O2 + OH = H2O + HO2,325,1.76139e+12,1.12475e+12,2.75973e+12,2.4536,0.44879
tl_H2O2_OH,H2O2 + OH = H2O + HO2,350,1.59608e+12,1.03758e+12,2.45053e+12,2.3618,0.42971
tl_H2O2_OH,H2O2 + OH = H2O + HO2,375,1.47788e+12,9.81901e+11,2.22714e+12,2.2682,0.40949
tl_H2O2_OH,H2O2 + OH = H2O + HO2,400,1.39851e+12,9.48418e+11,2.06478e+12,2.1771,0.38899
tl_H2O2_OH,H2O2 + OH = H2O + HO2,425,1.34958e+12,9.34140e+11,1.94994e+12,2.0874,0.36796
tl_H2O2_OH,H2O2 + OH = H2O + HO2,450,1.32453e+12,9.34527e+11,1.87636e+12,2.0078,0.34852
tl_H2O2_OH,H2O2 + OH = H2O + HO2,475,1.31886e+12,9.48648e+11,1.83471e+12,1.9340,0.32980
tl_H2O2_OH,H2O2 + OH = H2O + HO2,500,1.32845e+12,9.72387e+11,1.81481e+12,1.8663,0.31199
tl_H2O2_OH,H2O2 + OH = H2O + HO2,525,1.35011e+12,1.00671e+12,1.81230e+12,1.8002,0.29395
tl_H2O2_OH,H2O2 + OH = H2O + HO2,550,1.38380e+12,1.04925e+12,1.82420e+12,1.7386,0.27653
tl_H2O2_OH,H2O2 + OH = H2O + HO2,575,1.42670e+12,1.10011e+12,1.85037e+12,1.6820,0.25999
tl_H2O2_OH,H2O2 + OH = H2O + HO2,600,1.47842e+12,1.15790e+12,1.88744e+12,1.6300,0.24430
tl_H2O2_OH,H2O2 + OH = H2O + HO2,625,1.53873e+12,1.22316e+12,1.93473e+12,1.5817,0.22926
tl_H2O2_OH,H2O2 + OH = H2O + HO2,650,1.60726e+12,1.29627e+12,1.99305e+12,1.5375,0.21509
tl_H2O2_OH,H2O2 + OH = H2O + HO2,675,1.68347e+12,1.37661e+12,2.06031e+12,1.4967,0.20162
tl_H2O2_OH,H2O2 + OH = H2O + HO2,700,1.76854e+12,1.46396e+12,2.13670e+12,1.4595,0.18906
tl_H2O2_OH,H2O2 + OH = H2O + HO2,725,1.86178e+12,1.55914e+12,2.22230e+12,1.4253,0.17720
tl_H2O2_OH,H2O2 + OH = H2O + HO2,750,1.96185e+12,1.66213e+12,2.31762e+12,1.3944,0.16622
tl_H2O2_OH,H2O2 + OH = H2O + HO2,775,2.07171e+12,1.77193e+12,2.42171e+12,1.3667,0.15620
tl_H2O2_OH,H2O2 + OH = H2O + HO2,800,2.18835e+12,1.88898e+12,2.53374e+12,1.3413,0.14683
tl_H2O2_OH,H2O2 + OH = H2O + HO2,825,2.31213e+12,2.01376e+12,2.65496e+12,1.3184,0.13821
tl_H2O2_OH,H2O2 + OH = H2O + HO2,850,2.44368e+12,2.14678e+12,2.78478e+12,1.2972,0.13010
tl_H2O2_OH,H2O2 + OH = H2O + HO2,875,2.58271e+12,2.28858e+12,2.92192e+12,1.2767,0.12216
tl_H2O2_OH,H2O2 + OH = H2O + HO2,900,2.72964e+12,2.43975e+12,3.06993e+12,1.2583,0.11488
tl_H2O2_OH,H2O2 + OH = H2O + HO2,925,2.88494e+12,2.59490e+12,3.22544e+12,1.2430,0.10876
tl_H2O2_OH,H2O2 + OH = H2O + HO2,950,3.04908e+12,2.75992e+12,3.38882e+12,1.2279,0.10264
tl_H2O2_OH,H2O2 + OH = H2O + HO2,975,3.22255e+12,2.93393e+12,3.56126e+12,1.2138,0.09688
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1000,3.40589e+12,3.11253e+12,3.74302e+12,1.2026,0.09223
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1025,3.59967e+12,3.30201e+12,3.93406e+12,1.1914,0.08757
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1050,3.80446e+12,3.49539e+12,4.13485e+12,1.1829,0.08400
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1075,4.01057e+12,3.69809e+12,4.34589e+12,1.1752,0.08071
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1100,4.22689e+12,3.90842e+12,4.56770e+12,1.1687,0.07794
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1125,4.45488e+12,4.12421e+12,4.80084e+12,1.1641,0.07596
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1150,4.68755e+12,4.34778e+12,5.04587e+12,1.1606,0.07445
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1175,4.93128e+12,4.57694e+12,5.30340e+12,1.1587,0.07366
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1200,5.18768e+12,4.81343e+12,5.57408e+12,1.1580,0.07336
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1225,5.44836e+12,5.05467e+12,5.85858e+12,1.1590,0.07380
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1250,5.72131e+12,5.30800e+12,6.15760e+12,1.1601,0.07424
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1275,6.00793e+12,5.56061e+12,6.47187e+12,1.1639,0.07588
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1300,6.29833e+12,5.82524e+12,6.80219e+12,1.1677,0.07752
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1325,6.60229e+12,6.09485e+12,7.14937e+12,1.1730,0.07979
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1350,6.92092e+12,6.37162e+12,7.51427e+12,1.1793,0.08247
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1375,7.24318e+12,6.65842e+12,7.88256e+12,1.1838,0.08439
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1400,7.57992e+12,6.94744e+12,8.26890e+12,1.1902,0.08706
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1425,7.93231e+12,7.24901e+12,8.67417e+12,1.1966,0.08974
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1450,8.28863e+12,7.55832e+12,9.09376e+12,1.2031,0.09247
tl_H2O2_OH,H2O2 + OH = H2O + HO2,1475,8.65982e+12,7.87244e+12,9.52488e+12,1.2099,0.09527
