"# Burke, Klippenstein & Harding, Proc. Combust. Inst. 34 (2013) 547-555, Supplemental Fig. S4"
# BLUE series = constrained model (targets I-IV). Extracted from PDF vector coordinates.
# k in cm3 mol-1 s-1. k_model = blue centerline interpolated onto the error-bar temperatures.
# half_width_lnk = 0.5*ln(k_upper/k_lower). Paper states bounds are INTENDED as 2 sigma (tentative).
reaction_id,reaction,T_K,k_model,k_lower,k_upper,factor_hi_over_lo,half_width_lnk
R2,H2O2 + OH = HO2 + H2O,195.62,4.28605e+12,2.51080e+12,7.08990e+12,2.8238,0.51903
R2,H2O2 + OH = HO2 + H2O,224.34,3.26318e+12,1.91170e+12,5.39810e+12,2.8237,0.51903
R2,H2O2 + OH = HO2 + H2O,247.67,2.51076e+12,1.56640e+12,4.15330e+12,2.6515,0.48756
R2,H2O2 + OH = HO2 + H2O,271.00,2.03581e+12,1.27010e+12,3.26330e+12,2.5693,0.47182
R2,H2O2 + OH = HO2 + H2O,299.71,1.77643e+12,1.10820e+12,2.75930e+12,2.4899,0.45612
R2,H2O2 + OH = HO2 + H2O,323.04,1.56642e+12,1.00840e+12,2.40770e+12,2.3876,0.43515
R2,H2O2 + OH = HO2 + H2O,346.37,1.45556e+12,9.37060e+11,2.19090e+12,2.3381,0.42466
R2,H2O2 + OH = HO2 + H2O,375.09,1.36678e+12,9.08040e+11,1.97280e+12,2.1726,0.38796
R2,H2O2 + OH = HO2 + H2O,396.63,1.27006e+12,8.79920e+11,1.85250e+12,2.1053,0.37223
R2,H2O2 + OH = HO2 + H2O,419.96,1.27006e+12,8.79920e+11,1.77640e+12,2.0188,0.35126
R2,H2O2 + OH = HO2 + H2O,448.67,1.23073e+12,9.08040e+11,1.72140e+12,1.8957,0.31980
R2,H2O2 + OH = HO2 + H2O,472.00,1.27006e+12,9.08040e+11,1.72140e+12,1.8957,0.31980
R2,H2O2 + OH = HO2 + H2O,495.33,1.27006e+12,9.37060e+11,1.72140e+12,1.8370,0.30407
R2,H2O2 + OH = HO2 + H2O,524.05,1.32446e+12,9.77200e+11,1.72140e+12,1.7616,0.28310
R2,H2O2 + OH = HO2 + H2O,547.38,1.32446e+12,1.00840e+12,1.72140e+12,1.7071,0.26739
R2,H2O2 + OH = HO2 + H2O,570.71,1.36678e+12,1.07390e+12,1.77640e+12,1.6542,0.25165
