TRANSPORT
H                  0   145.000     2.050     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.790   280.000
O                  0    80.000     2.750     0.000     0.000     0.000
OH                 1   809.100     2.641     0.000     0.000     0.000 !ivanov
H2O                2   809.100     2.641     1.844     0.000     4.000 !ivanov
O2                 1   106.700     3.467     0.000     1.600     3.800 !ivanov
HO2                2   298.300     4.196     0.000     0.000     1.000  !ivanov
H2O2               2   298.300     4.196     0.000     0.000     3.800 ! ivanov
AR                 0   136.500     3.330     0.000     0.000     0.000
N2                 1    71.400     3.798     0.000     1.760     4.000 !ivanov
O3                 2   208.400     3.875     0.000     0.000     2.000 !ivanov
HE                 0    10.220     2.556     0.000     0.000     0.000  !ivanov
OX                 0    80.000     2.750     0.000     0.000     0.000 !=O
O2X                1   106.700     3.467     0.000     1.600     3.800 !=O2
OHX                1   809.100     2.641     0.000     0.000     0.000 !=OH
END
